sku,product_name,category,manufacturer,base_price,mrp,batch_number,manufacturing_date,expiry_date,stock_quantity,daily_demand,status
PICKLE-CHILLI-005,Bedekar Green Chilli Pickle 300g,Pickles,Desai Foods (Mother's Recipe),85.0,95.0,BCHI-1310,2026-04-08,2026-12-26,303,3,SAFE
SAUCE-KETCHUP-001,Kissan Fresh Tomato Ketchup 950g,Sauces,Hindustan Unilever,135.0,150.0,BKET-1169,2025-12-06,2026-09-17,138,17,SAFE
PICKLE-LIME-003,Tops Spicy Lime Pickle 400g,Pickles,Desai Foods (Mother's Recipe),95.0,105.0,BLIM-1240,2025-12-23,2026-11-18,170,27,SAFE
FROZEN-PEAS-002,Safal Frozen Green Peas 1kg,Frozen Foods,McCain Foods,130.0,145.0,BPEA-1415,2026-04-16,2026-09-01,36,9,WARNING
PKG-SALT-005,Tata Vacuum Evaporated Iodized Salt 1kg,Packaged Foods,Tata Consumer Products,25.0,28.0,BSAL-1531,2026-03-03,2026-08-25,145,26,EXPIRED
SNACK-NACHOS-004,Doritos Cheese Nachos 60g,Snacks,PepsiCo India,30.0,30.0,BNAC-1149,2026-04-30,2027-01-04,297,15,SAFE
BEV-COFFEE-004,Nescafe Classic Instant Coffee 100g,Beverages,Dabur India,310.0,325.0,BCOF-1463,2025-09-22,2026-08-28 08:05:06,285,22,CRITICAL
PKG-SALT-005,Tata Vacuum Evaporated Iodized Salt 1kg,Packaged Foods,Tata Consumer Products,25.0,28.0,BSAL-1478,2026-04-03,2026-08-28 19:00:18,308,5,CRITICAL
SPICE-GARAM-001,Everest Royal Garam Masala 100g,Spices,MDH Spices,85.0,90.0,BGAR-1490,2026-01-12,2026-08-27 18:03:46,336,15,DONATION
DAIRY-BUTTER-002,Amul Pasteurised Butter 500g,Dairy,Amul India,270.0,275.0,BBUT-1171,2026-03-15,2027-02-06,294,7,SAFE
BAKERY-BREAD-002,Harvest Gold White Bread 400g,Bakery,Britannia Industries,40.0,42.0,BBRE-1526,2026-02-19,2026-08-17 22:43:39,85,24,EXPIRED
COND-TABASCO-001,Tabasco Original Red Pepper Sauce 60ml,Condiments,Wingreens Farms,220.0,240.0,BTAB-1462,2025-12-15,2026-08-28 05:13:12,115,16,CRITICAL
SAUCE-CHILLI-005,Heinz Sweet Chilli Sauce 300g,Sauces,Hindustan Unilever,160.0,175.0,BCHI-1453,2025-12-03,2026-08-28 17:55:04,258,5,CRITICAL
SAUCE-SOYA-004,Tops Dark Soy Sauce 210ml,Sauces,Hindustan Unilever,55.0,60.0,BSOY-1460,2025-10-23,2026-08-28 15:11:57,214,2,CRITICAL
